gender,age,experience,education_level,hired
Female,58,28,3,1
Female,35,29,1,1
Female,51,20,1,1
Male,56,11,1,1
Male,42,24,1,1
Male,58,15,2,1
Female,26,23,2,1
Male,40,11,2,1
Male,35,14,0,1
Female,47,24,3,1
Male,25,9,1,1
Female,46,29,1,1
Male,46,24,2,1
Male,39,6,1,1
Female,29,19,1,0
Male,35,4,3,1
Male,53,0,2,0
Female,59,29,3,1
Female,54,16,0,1
Male,44,2,0,0
Female,36,12,0,1
Male,54,13,2,1
Male,46,23,1,1
Female,38,29,2,1
Female,54,17,2,1
Female,23,3,1,0
Female,35,17,3,0
Female,27,29,0,1
Female,27,4,3,0
Male,24,24,0,1
Female,28,15,2,1
Male,29,0,0,0
Male,36,20,2,1
Male,50,13,3,1
Male,54,14,2,1
Female,51,8,3,1
Female,48,14,1,1
Female,57,16,1,1
Male,50,24,1,1
Male,59,23,2,1
Male,54,3,1,0
Male,58,11,0,0
Female,48,26,3,1
Female,54,25,3,1
Female,25,4,0,0
Male,43,28,2,1
Female,23,4,2,0
Female,31,10,3,0
Female,26,27,1,1
Female,31,5,2,0
Male,54,6,2,1
Male,59,23,0,1
Male,34,13,0,1
Female,52,23,1,0
Male,57,10,2,0
Male,45,29,2,1
Male,36,12,0,1
Male,50,1,2,1
Female,29,24,3,1
Female,26,6,0,0
Male,50,19,1,1
Male,25,3,0,1
Male,33,26,2,1
Male,23,7,1,1
Male,48,19,0,1
Male,52,28,3,1
Male,57,21,3,1
Female,57,20,0,1
Female,47,18,3,1
Male,48,12,3,1
Male,26,13,3,1
Female,41,9,1,0
Female,32,10,3,0
Female,31,1,3,0
Female,59,24,3,1
Male,27,25,1,1
Male,29,8,0,0
Female,44,16,2,1
Male,47,25,3,1
Female,33,2,0,0
Female,47,23,3,1
Female,34,5,1,0
Male,39,4,0,0
Female,46,4,1,0
Male,54,21,3,1
Female,33,14,3,1
Female,57,22,1,1
Male,25,16,2,1
Female,26,8,1,0
Female,58,2,3,1
Male,29,19,1,1
Male,49,25,2,1
Male,52,16,1,1
Male,30,28,2,1
Male,50,26,2,1
Female,35,9,1,0
Male,43,2,1,1
Male,32,17,0,1
Female,44,17,3,1
Male,22,29,2,1
Female,58,16,0,1
Male,42,23,1,1
Male,47,2,3,1
Female,57,2,0,0
Female,44,5,2,0
Female,22,12,0,0
Female,36,23,2,1
Female,42,28,1,1
Male,30,14,3,1
Male,30,24,3,1
Female,31,8,3,0
Female,47,3,1,0
Female,56,13,2,1
Male,46,4,1,1
Male,47,1,3,0
Female,32,10,1,1
Male,59,8,1,0
Female,23,23,1,1
Female,28,2,2,0
Male,39,26,0,1
Female,48,27,0,1
Female,55,28,1,1
Male,48,8,0,0
Female,38,2,0,0
Female,45,24,1,1
Female,46,1,1,1
Male,28,11,3,0
Female,27,9,0,0
Male,45,8,2,1
Male,54,14,1,0
Female,50,7,3,0
Male,43,24,2,1
Male,47,4,0,0
Female,49,10,3,0
Female,42,26,1,1
Female,28,1,2,0
Female,38,23,1,1
Male,41,27,0,1
Male,41,14,2,1
Male,43,5,0,0
Female,49,7,0,0
Female,28,26,3,1
Female,22,4,1,0
Female,53,15,2,0
Male,34,25,0,1
Male,51,17,0,1
Male,44,5,2,1
Female,40,4,0,0
Male,53,27,3,1
Female,51,15,3,1
Male,50,12,3,1
Male,50,27,3,1
Male,51,4,0,0
Female,37,12,2,0
Female,40,16,2,1
Male,39,17,2,1
Male,22,7,2,1
Female,35,12,1,0
Male,23,29,2,1
Female,49,28,1,1
Female,51,18,1,1
Male,59,25,3,1
Male,25,2,1,0
Female,22,23,0,0
Male,29,7,1,0
Male,50,1,3,1
Female,24,7,1,1
Female,53,26,0,1
Female,31,12,0,0
Female,31,12,0,0
Male,40,0,3,1
Male,55,5,3,1
Female,54,23,2,1
Female,44,18,3,1
Male,49,15,0,1
Female,53,7,0,0
Male,28,27,3,1
Male,50,0,1,0
Male,29,26,3,1
Male,22,26,3,1
Male,24,15,0,0
Male,45,8,2,1
Male,44,12,0,0
Female,29,10,2,1
Female,58,12,0,1
Female,24,24,3,1
Female,54,20,0,1
Male,49,9,0,0
Male,29,3,0,0
Female,55,26,3,1
Male,56,5,3,1
Female,53,27,3,1
Male,45,6,3,1
Female,35,4,2,0
Male,53,10,2,1
Female,37,12,1,0
Female,25,25,3,1
Female,58,24,2,1
Male,42,18,0,1
Female,35,22,3,1
Female,52,9,1,1
Female,39,9,1,0
Female,28,10,1,1
Female,31,20,0,1
Male,28,29,2,1
Female,54,6,0,0
Female,44,17,3,1
Female,42,3,1,0
Male,40,1,0,0
Male,40,13,0,1
Female,57,12,2,0
Female,50,28,2,0
Male,39,11,1,1
Female,23,6,0,0
Male,22,1,0,0
Male,26,12,2,0
Male,41,13,0,1
Male,32,26,0,1
Female,23,16,0,1
Male,24,8,2,0
Female,44,16,1,1
Female,33,7,3,0
